Parameters,Values,Unit
Max total connections,37,-
Optimised connections,37,-
Total capture potential,7.30009275533416,MtCO2pa
Total capture volume,7.3,MtCO2pa
Total capture volume fossil,7.3,MtCO2pa
Total capture volume bio,0.0,MtCO2pa
Biomass use,0.0,TWhpa
Average T&S costs,116.82,EUR/tCO2pa
Total costs,0,EUR/tCO2Reducedpa
Pipeline cost,388.9533769164697,MEURpa
Storage cost,11.725747970905738,MEURpa
Booster cost,25.727426280149352,MEURpa
MIPgap,0.0,%
C-grid-type,coarse,-
