Pipeline_lon1,Pipeline_lat1,Pipeline_lon2,Pipeline_lat2,Pipe_capacity
4.232510208571428,51.90253498571426,4.3028847033333335,51.299193959999975,44.89627087908559
3.7263890000000006,60.64555599999999,3.689817,60.433772,5.0
4.077814,51.965418,4.064029,51.973837,122.8471343519125
3.2069999999999994,51.330999999999996,3.213,51.323,0.019228936853999998
3.7263890000000006,60.64555599999999,1.8999999999999995,58.35000280999999,28.616363288766806
6.311106,50.835876,6.457,51.384,0.16846996669800612
4.232510208571428,51.90253498571426,4.67029378,51.75801071999992,49.71490267933622
21.066666999999995,71.63333299999998,3.7263890000000006,60.64555599999999,13.616363288766806
4.3028847033333335,51.299193959999975,3.7728211071428572,51.31059309999994,16.058410606698
5.271956,56.640805999999984,4.27192,56.34414299999999,2.25
5.0718321625,51.107965949999965,5.491873699999999,50.93598109999995,44.57246996820705
5.329267,49.382658,4.3,49.8,4.082228729816079
3.9555781849999994,52.13518771,3.896137981999999,52.14647011999998,1.6
6.236950164999999,48.85102439000001,6.295,48.7289,4.082228729816079
5.491873699999999,50.93598109999995,5.7249609333333344,50.75836836666667,44.55324103135305
5.7249609333333344,50.75836836666667,5.739351,50.753777,43.50707796559405
4.1534544,50.0269282,3.9148496500000007,50.47636969999994,3.952036914231144
3.896137981999999,52.14647011999998,3.520992013,52.03519497,122.8663632887668
7.5134593,51.6251146999999,7.5784,51.683185,5.54172971747215
4.67029378,51.75801071999992,4.9950676,51.6107966,49.61056869610832
6.983728734210527,51.55545094210524,7.5134593,51.6251146999999,5.558986716774251
4.8254518,52.3939027999999,4.700005,52.487665,4.167460944958754
8.397537683333328,51.60553248333326,8.7503867,51.6963705,0.25244769283794355
6.457,51.384,6.144031,51.897037,0.16846996669800612
5.739351,50.753777,6.09,50.7,43.50707796559405
6.09,50.7,6.177002,50.786035,0.05193766208304851
4.27192,56.34414299999999,4.0040007,53.53716658999998,100.8663632887668
4.27192,56.34414299999999,1.8999999999999995,58.35000280999999,83.61636328876466
6.933,51.076,6.311106,50.835876,43.28667033681195
4.1534544,50.0269282,4.3,49.8,4.082228729816079
6.1561641,50.8304695499999,6.177002,50.786035,0.05193766208310535
6.936789494117647,50.966893499999976,6.933,51.076,15.35547639087406
5.589,53.056,5.429,52.95,0.17504294495881823
4.232510208571428,51.90253498571426,4.064029,51.973837,122.84713435191236
4.620476,52.4739099999999,4.700005,52.487665,3.9924179999993044
3.2069999999999994,51.330999999999996,3.520992013,52.03519497,0.019228936828426413
4.8254518,52.3939027999999,5.0858943,51.8881628,4.251695928307754
8.0299739,51.4228401,8.052379966666665,51.79362816666664,0.08423498334786927
4.54496036,50.42491069999996,4.1534544,50.0269282,0.12289596266782965
6.31028,53.278554,6.07,53.19,0.17504294495870454
6.24564695,51.83264669999989,6.144031,51.897037,0.1684699666979777
6.311106,50.835876,6.09,50.7,43.45514030350995
2.9786505,51.2127911999999,3.213,51.323,0.019228936853974553
6.95846865,53.31357319999995,6.9723944,53.1763506,0.1684699666979777
3.896137981999999,52.14647011999998,4.0040007,53.53716658999998,120.8663632887668
6.983728734210527,51.55545094210524,6.933,51.076,27.931193945935888
5.050348,52.756746,4.700005,52.487665,0.17504294495847716
3.7263890000000006,60.64555599999999,3.689817,60.433772,5.0
6.4979,53.28,6.31028,53.278554,0.17504294495859085
8.397537683333328,51.60553248333326,8.052379966666665,51.79362816666664,3.0806805861660678
6.9723944,53.1763506,6.4979,53.28,0.1684699666969891
5.0858943,51.8881628,4.9950676,51.6107966,4.2862075021544115
6.6814621,53.1761302999999,6.4979,53.28,0.00657297826083297
5.8924892,53.0481093,5.589,53.056,0.17504294495881823
6.07,53.19,5.8924892,53.0481093,0.17504294495881823
8.052379966666665,51.79362816666664,7.5784,51.683185,5.5417297174655005
3.46826845,50.58618674999995,3.9148496500000007,50.47636969999994,1.7005114966450001
7.937344400000001,52.186523466666635,8.052379966666665,51.79362816666664,1.0525659481340313
5.429,52.95,5.050348,52.756746,0.17504294495881823
8.81733,51.4832699999999,8.7503867,51.6963705,0.006837897041805263
5.329267,49.382658,6.295,48.7289,4.082228729816079
5.0718321625,51.107965949999965,4.9950676,51.6107966,45.2943914334339
4.077814,51.965418,3.520992013,52.03519497,122.8471343519128
