Parameters,Values,Unit
Max total connections,214,-
Optimised connections,214,-
Total capture potential,55.35452168233147,MtCO2pa
Total capture volume,55.35,MtCO2pa
Total capture volume fossil,55.35,MtCO2pa
Total capture volume bio,0.0,MtCO2pa
Biomass use,15.102276916726165,TWhpa
Average T&S costs,32.61,EUR/tCO2pa
Total costs,0,EUR/tCO2Reducedpa
Pipeline cost,754.2445547357315,MEURpa
Storage cost,80.55677972276354,MEURpa
Booster cost,67.69674018471139,MEURpa
MIPgap,0.0,%
C-grid-type,coarse,-
