Parameters,Values,Unit
Max total connections,214,-
Optimised connections,144,-
Total capture potential,55.35452168233147,MtCO2pa
Total capture volume,37.0,MtCO2pa
Total capture volume fossil,37.0,MtCO2pa
Total capture volume bio,0.0,MtCO2pa
Biomass use,43.7311176558884,TWhpa
Average T&S costs,28.25,EUR/tCO2pa
Total costs,0,EUR/tCO2Reducedpa
Pipeline cost,428.46626029194516,MEURpa
Storage cost,56.93914493153667,MEURpa
Booster cost,37.134118577753604,MEURpa
MIPgap,0.0,%
C-grid-type,coarse,-
