solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t
16,16,No_Bio,2,2050,0.09882,0.35576,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,3.149389302143701e6,3.1492869174000006e6,69.6,29.7847437,3.149386302143701e6,3.0,0.464,0.4758584,0,0,0,CEM1-(BMW),cement,0.0,0.0,0.0,0.0
17,17,No_Bio,2,2050,0.24884,0.89583,0,0,6.06752,0,0,0,0,0,0,0,0,0,0,0,0.47035,0,0,0,0,0,0,0,0,0,8.9407973563437e6,5.0797974188e6,-62.84999999999999,29.7847437,8.9407853563437e6,12.0,-0.419,-0.38913919999999996,0,0,0.882,CEM1-(BMW)MEA,cement,3.401360544217687,2.1887874165532873e6,2.1887908179138317e6,1.9305135013999995e6
18,18,No_Bio,2,2050,0.18155,0.65357,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,3.1494261463137004e6,3.1492927085000006e6,-38.25,41.2250337,3.1493301463137004e6,96.0,-0.255,-0.233214,0,0,0.719,CEM1-(BMW)CaL,cement,43.11543810848401,23.96577190522296,67.08121001370696,48.2313899998553
19,19,No_Bio,2,2050,0.23416,0.84297,0,0,4.29082,0,0,0,0,0,0,0,0,0,0,0,0.33262,0,0,0,0,0,0,0,0,0,4.478418706311059e6,3.5923123912000004e6,4.2,33.91233282,4.478409706311059e6,9.0,0.028,0.0560992,0,0,0.958,CEM1-(BMW)Oxy-MEA,cement,2.0876826722338206,462452.61105336057,462454.6987360328,443031.6013891194
20,20,No_Bio,2,2050,0.20677,0.74439,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,3.14942148839118e6,3.1492944739000006e6,2.8499999999999996,37.20699286,3.14936448839118e6,57.0,0.019,0.0438124,0,0,0.903,CEM1-(BMW)Oxy-CaL,cement,19.93355481727575,16.58776208164288,36.52131689891863,32.97874915972352
21,21,No_Bio,2,2050,0.08029,0.28905,0,0,0,2.1318,0,0,0,0,0,0,0,0,0,0,0,0.07226,0,0,0,0,0,0,0,0,119.5601877,14.652800000000003,78.60000000000001,23.3073877,116.5601877,3.0,0.524,0.5692120110000001,0,0,0,CEM2-(Coal),cement,0.0,0.0,0.0,0.0
22,22,No_Bio,2,2050,0.17339,0.62419,0,0,0,4.01198,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,110.96368770000001,29.1373,20.55,23.3073877,101.96368770000001,9.0,0.137,0.22476640000000003,0,0,0.548,CEM2-(Coal)MEA,cement,3.64963503649635,26.431569343065693,30.081204379562042,16.4845
23,23,No_Bio,2,2050,0.13068,0.47045,0,0,0,2.1318,0,0,0,0,0,0,0,0,0,0,0,0.07226,0,0,0,0,0,0,0,0,139.31360061,18.180100000000003,12.899999999999999,30.26455867,82.31360061000001,57.0,0.086,0.13725881099999998,0,0,0.438,CEM2-(Coal)CaL,cement,41.0958904109589,23.937148333333333,65.03303874429224,28.48447097
24,24,No_Bio,2,2050,0.19246,0.69286,0,0,0,3.09002,0,0,0,0,0,0,0,0,0,0,0,0.10475,0,0,0,0,0,0,0,0,107.15732874,26.56595,16.2,27.05995138,101.15732874,6.0,0.108,0.1826688625,0,0,0.629,CEM2-(Coal)Oxy-MEA,cement,1.589825119236884,24.905745119236883,26.495570238473768,16.66571368
25,25,No_Bio,2,2050,0.15877,0.57156,0,0,0,2.14526,0,0,0,0,0,0,0,0,0,0,0,0.07272,0,0,0,0,0,0,0,0,122.28747282,20.203900000000004,12.450000000000001,28.71538274,83.28747282,39.0,0.083,0.137856092,0,0,0.533,CEM2-(Coal)Oxy-CaL,cement,22.5140712945591,20.561153921200745,43.07522521575984,22.959095039999998
26,26,No_Bio,2,2050,0.08029,0.28905,0,0,0,0,0,0,0,0,0,0,2.16164,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,113.36278058888888,17.60539288888889,69.45,23.3073877,110.36278058888888,3.0,0.463,0.4881265533333333,0,0,0,CEM2-(NG),cement,0.0,0.0,0.0,0.0
27,27,No_Bio,2,2050,0.15497,0.5579,0,0,0,0,0,0,0,0,0,0,3.69103,0,0,0,0,0,0,0,0,0,0,0,0.07539,0,104.53443425555557,31.312610777777778,16.5,23.3073877,98.53443425555557,6.0,0.11,0.15504878166666666,0,0,0.439,CEM2-(NG)MEA,cement,2.277904328018223,31.22373095418881,33.50163528220703,14.707217888888888
28,28,No_Bio,2,2050,0.12484,0.44943,0,0,0,0,0,0,0,0,0,0,2.16164,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,131.1394305888889,20.72389288888889,11.399999999999999,29.4644377,80.1394305888889,51.0,0.076,0.10647255333333333,0,0,0.387,CEM2-(NG)CaL,cement,41.343669250645995,23.96782945736434,65.31149870801033,25.27555
29,29,No_Bio,2,2050,0.2133,0.76789,0,0,0,0,0,0,0,0,0,0,3.13951,0,0,0,0,0,0,0,0,0,0,0,0.06412,0,125.88985133555556,32.337838777777776,16.95,28.25063206,116.88985133555556,9.0,0.113,0.16109582166666667,0,0,0.676,CEM2-(NG)Oxy-MEA,cement,2.9585798816568047,29.106050664036815,32.06463054569362,21.675690248888888
30,30,No_Bio,2,2050,0.17324,0.62365,0,0,0,0,0,0,0,0,0,0,2.17962,0,0,0,0,0,0,0,0,0,0,0,0.04452,0,134.4852427222222,24.211582,13.049999999999999,29.5420193,92.48524272222221,42.0,0.087,0.12340941,0,0,0.565,CEM2-(NG)Oxy-CaL,cement,23.008849557522126,22.727116302851524,45.73596586037365,25.84082071111111
