solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t,Additional_cc_capex
11,11,No_CDR_price,2,2050,0.09882,0.35576,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,149.5477077,7.712964,109.05,29.7847437,146.5477077,3.0,0.727,0.739578196,0,0,0,CEM1-(Afm),cement,0.0,0.0,0.0,0.0,0.0
12,12,No_CDR_price,2,2050,0.21786,0.78428,5.2383,0,0,0,0,0,0,0,0,0,0,0,0.14835,0,0,0,0,0,0,0,0,0,0,0,98.86474198200001,16.49634,26.25,29.7847437,72.53108370000001,26.333658282,0.175,0.20227066,0,0,0.7,CEM1-(Afm)MEA,cement,4.285714285714286,12.547679999999996,16.83339428571428,11.783375999999995,29.04808326
13,13,No_CDR_price,2,2050,0.16869,0.6073,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,116.52803232208001,12.603864000000002,17.849999999999998,39.4129337,69.8667977,46.66123462208,0.119,0.139962596,0,0,0.608,CEM1-(Afm)CaL,cement,42.76315789473684,23.880082236842114,66.64324013157895,40.51909,29.04808326
14,14,No_CDR_price,2,2050,0.20765,0.74754,4.13431,0,0,0,0,0,0,0,0,0,0,0,0.11708,0,0,0,0,0,0,0,0,0,0,0,90.80957116834,15.518972000000002,18.75,32.3979123,66.6668843,24.14268686834,0.125,0.150807808,0,0,0.659,CEM1-(Afm)Oxy-MEA,cement,3.0349013657056143,15.810586646434,18.845488012139615,12.419176600000007,29.04808326
15,15,No_CDR_price,2,2050,0.18044,0.64957,3.34437,0,0,0,0,0,0,0,0,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,0,102.46757988446,13.426364000000001,15.299999999999997,35.70235618,64.42872018,38.038859704459995,0.102,0.12437259599999999,0,0,0.621,CEM1-(Afm)Oxy-CaL,cement,27.375201288244767,18.72948869565218,46.10468998389695,28.631012480000003,29.04808326
16,16,No_CDR_price,2,2050,0.09882,0.35576,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,138.4621437,36.077400000000004,69.6,29.7847437,135.4621437,3.0,0.464,0.4758584,0,0,0,CEM1-(BMW),cement,0.0,0.0,0.0,0.0,0.0
17,17,No_CDR_price,2,2050,0.24884,0.89583,0,0,6.06752,0,0,0,0,0,0,0,0,0,0,0,0.47035,0,0,0,0,0,0,0,0,0,125.85895313532001,64.4538,0.0,29.7847437,94.23854370000001,31.62040943532,-0.419,-0.38913919999999996,0,0,0.882,CEM1-(BMW)MEA,cement,3.401360544217687,32.17278911564625,35.57414965986394,31.376399999999997,29.04808326
18,18,No_CDR_price,2,2050,0.18155,0.65357,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,137.97910556393998,41.868500000000004,0.0,41.2250337,83.0935337,54.88557186394,-0.255,-0.233214,0,0,0.719,CEM1-(BMW)CaL,cement,43.11543810848401,23.965771905424187,67.08121001390819,48.23138999999999,29.04808326
19,19,No_CDR_price,2,2050,0.23416,0.84297,0,0,4.29082,0,0,0,0,0,0,0,0,0,0,0,0.33262,0,0,0,0,0,0,0,0,0,120.59359658308,49.6532,4.2,33.91233282,87.76553282,32.828063763079996,0.028,0.0560992,0,0,0.958,CEM1-(BMW)Oxy-MEA,cement,2.0876826722338206,18.479529352818368,20.56721202505219,19.703389119999997,29.04808326
20,20,No_CDR_price,2,2050,0.20677,0.74439,0,0,3.7616,0,0,0,0,0,0,0,0,0,0,0,0.2916,0,0,0,0,0,0,0,0,0,130.92131204378,43.633900000000004,2.8499999999999996,37.20699286,83.69089286,47.23041918378,0.019,0.0438124,0,0,0.903,CEM1-(BMW)Oxy-CaL,cement,19.93355481727575,16.587762081949048,36.5213168992248,32.97874915999999,29.04808326
21,21,No_CDR_price,2,2050,0.08029,0.28905,0,0,0,2.1318,0,0,0,0,0,0,0,0,0,0,0,0.07226,0,0,0,0,0,0,0,0,119.5601877,14.652800000000003,78.60000000000001,23.3073877,116.5601877,3.0,0.524,0.5692120110000001,0,0,0,CEM2-(Coal),cement,0.0,0.0,0.0,0.0,0.0
22,22,No_CDR_price,2,2050,0.17339,0.62419,0,0,0,4.01198,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,93.91303732648001,29.1373,20.55,23.3073877,72.9946877,20.91834962648,0.137,0.22476640000000003,0,0,0.548,CEM2-(Coal)MEA,cement,3.64963503649635,26.431569343065693,30.081204379562042,16.4845,29.04808326
23,23,No_CDR_price,2,2050,0.13068,0.47045,0,0,0,2.1318,0,0,0,0,0,0,0,0,0,0,0,0.07226,0,0,0,0,0,0,0,0,95.06771913788,18.180100000000003,12.899999999999999,30.26455867,61.34465867,33.72306046788,0.086,0.13725881099999998,0,0,0.438,CEM2-(Coal)CaL,cement,41.0958904109589,23.937148333333333,65.03303874429224,28.48447097,29.04808326
24,24,No_CDR_price,2,2050,0.19246,0.69286,0,0,0,3.09002,0,0,0,0,0,0,0,0,0,0,0,0.10475,0,0,0,0,0,0,0,0,92.09714575054001,26.56595,16.2,27.05995138,69.82590138,22.27124437054,0.108,0.1826688625,0,0,0.629,CEM2-(Coal)Oxy-MEA,cement,1.589825119236884,24.905745119236883,26.495570238473768,16.66571368,29.04808326
25,25,No_CDR_price,2,2050,0.15877,0.57156,0,0,0,2.14526,0,0,0,0,0,0,0,0,0,0,0,0.07272,0,0,0,0,0,0,0,0,91.85191111758,20.203900000000004,12.450000000000001,28.71538274,61.36928274,30.48262837758,0.083,0.137856092,0,0,0.533,CEM2-(Coal)Oxy-CaL,cement,22.5140712945591,20.561153921200745,43.07522521575984,22.959095039999998,29.04808326
26,26,No_CDR_price,2,2050,0.08029,0.28905,0,0,0,0,0,0,0,0,0,0,2.16164,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,125.34787347777777,29.590485777777776,69.45,23.3073877,122.34787347777777,3.0,0.463,0.4881265533333333,0,0,0,CEM2-(NG),cement,0.0,0.0,0.0,0.0,0.0
27,27,No_CDR_price,2,2050,0.15497,0.5579,0,0,0,0,0,0,0,0,0,0,3.69103,0,0,0,0,0,0,0,0,0,0,0,0.07539,0,108.33681780669554,51.77732155555555,16.5,23.3073877,91.58470925555554,16.752108551139997,0.11,0.15504878166666666,0,0,0.439,CEM2-(NG)MEA,cement,2.277904328018223,50.53948924322956,52.817393571247784,23.186835777777777,29.04808326
28,28,No_CDR_price,2,2050,0.12484,0.44943,0,0,0,0,0,0,0,0,0,0,2.16164,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,103.81503169939778,32.70898577777778,11.399999999999999,29.4644377,73.57342347777778,30.241608221619998,0.076,0.10647255333333333,0,0,0.387,CEM2-(NG)CaL,cement,41.343669250645995,23.96782945736434,65.31149870801033,25.27555,29.04808326
29,29,No_CDR_price,2,2050,0.2133,0.76789,0,0,0,0,0,0,0,0,0,0,3.13951,0,0,0,0,0,0,0,0,0,0,0,0.06412,0,119.58181389931555,49.74467755555555,16.95,28.25063206,94.94530961555554,24.63650428376,0.113,0.16109582166666667,0,0,0.676,CEM2-(NG)Oxy-MEA,cement,2.9585798816568047,37.126384819197895,40.0849647008547,27.097436137777777,29.04808326
30,30,No_CDR_price,2,2050,0.17324,0.62365,0,0,0,0,0,0,0,0,0,0,2.17962,0,0,0,0,0,0,0,0,0,0,0,0.04452,0,111.30055034189999,36.296364,13.049999999999999,29.5420193,78.88838329999999,32.4121670419,0.087,0.12340941,0,0,0.565,CEM2-(NG)Oxy-CaL,cement,23.008849557522126,22.90355720747297,45.9124067649951,25.94050982222223,29.04808326
31,31,No_CDR_price,2,2050,0.08029,0.28905,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,112.76392369999999,6.206536000000002,80.25,23.3073877,109.76392369999999,3.0,0.535,0.545165204,0,0,0,CEM2-(Afm),cement,0.0,0.0,0.0,0.0,0.0
32,32,No_CDR_price,2,2050,0.168,0.6048,3.8598,0,0,0,0,0,0,0,0,0,0,0,0.10931,0,0,0,0,0,0,0,0,0,0,0,75.32440266216,12.678204000000001,19.349999999999998,23.3073877,55.3355917,19.988810962160002,0.129,0.149990756,0,0,0.516,CEM2-(Afm)MEA,cement,3.875968992248062,12.541992248062014,16.417961240310078,8.471668000000001,29.04808326
33,33,No_CDR_price,2,2050,0.13178,0.4744,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,88.43942500048,9.810836,13.199999999999998,30.4150477,53.4258837,35.01354130048,0.088,0.10434400399999999,0,0,0.448,CEM2-(Afm)CaL,cement,42.410714285714285,23.91062499999999,66.32133928571427,29.711959999999994,29.04808326
34,34,No_CDR_price,2,2050,0.16048,0.57773,3.04633,0,0,0,0,0,0,0,0,0,0,0,0.08627,0,0,0,0,0,0,0,0,0,0,0,69.07946884110001,11.958268,13.799999999999999,25.23288046,50.991148460000005,18.088320381099997,0.092,0.11191325199999999,0,0,0.485,CEM2-(Afm)Oxy-MEA,cement,2.061855670103093,15.829329402061855,17.891185072164948,8.67722476,29.04808326
35,35,No_CDR_price,2,2050,0.14043,0.50554,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,77.60904874982,10.416336000000001,11.25,27.6677387,49.3340747,28.27497404982,0.075,0.09238200399999999,0,0,0.457,CEM2-(Afm)Oxy-CaL,cement,26.258205689277897,18.753065645514223,45.01127133479212,20.570151,29.04808326
36,36,No_CDR_price,2,2050,0.08029,0.28905,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,104.71368770000001,27.1063,51.300000000000004,23.3073877,101.71368770000001,3.0,0.342,0.3516348,0,0,0,CEM2-(BMW),cement,0.0,0.0,0.0,0.0,0.0
37,37,No_CDR_price,2,2050,0.19083,0.687,0,0,4.47081,0,0,0,0,0,0,0,0,0,0,0,0.34657,0,0,0,0,0,0,0,0,0,95.203741819,48.0151,0.0,23.3073877,71.3224877,23.881254119,-0.308,-0.2851004,0,0,0.65,CEM2-(BMW)MEA,cement,3.0769230769230766,32.167384615384606,35.244307692307686,22.908799999999996,29.04808326
38,38,No_CDR_price,2,2050,0.14125,0.50849,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,103.5324818278,31.3735,0.0,31.7634977,63.136997699999995,40.3954841278,-0.188,-0.17105,0,0,0.53,CEM2-(BMW)CaL,cement,41.50943396226415,24.006245283018856,65.515679245283,34.72330999999999,29.04808326
39,39,No_CDR_price,2,2050,0.18001,0.64805,0,0,3.16165,0,0,0,0,0,0,0,0,0,0,0,0.24509,0,0,0,0,0,0,0,0,0,90.96641540156,37.109700000000004,3.0,26.34876862,66.45846862,24.507946781559998,0.02,0.041601200000000005,0,0,0.706,CEM2-(BMW)Oxy-MEA,cement,1.41643059490085,18.477026798866863,19.89345739376771,14.044780920000003,29.04808326
40,40,No_CDR_price,2,2050,0.15984,0.57541,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,98.8681928679,32.674800000000005,2.1,28.7764175,63.55121750000001,35.3169753679,0.014,0.0331808,0,0,0.665,CEM2-(BMW)Oxy-CaL,cement,19.548872180451127,16.597789172932337,36.146661353383465,24.037529800000005,29.04808326
41,41,No_CDR_price,2,2050,0.08265,0.29753,0,0,0,1.81319,0,0,0,0,0,0,0,0,0,0,0,0.06146,0,0,0,0,0,0,0,0,100.9908002,13.468,59.85,24.6728002,97.9908002,3.0,0.399,0.439177831,0,0,0,LC3-(Coal),cement,0.0,0.0,0.0,0.0,0.0
42,42,No_CDR_price,2,2050,0.15355,0.55279,0,0,0,3.24523,0,0,0,0,0,0,0,0,0,0,0,0.11001,0,0,0,0,0,0,0,0,80.88560091942,24.49975,15.6,24.6728002,64.7725502,16.11305071942,0.104,0.1765894235,0,0,0.417,LC3-(Coal)MEA,cement,2.3980815347721824,26.45503597122303,28.85311750599521,12.031750000000002,29.04808326
43,43,No_CDR_price,2,2050,0.12103,0.43569,0,0,0,1.81319,0,0,0,0,0,0,0,0,0,0,0,0.06146,0,0,0,0,0,0,0,0,82.59035000884,16.154600000000002,9.75,29.9836902,55.8882902,26.702059808839998,0.065,0.109783431,0,0,0.334,LC3-(Coal)CaL,cement,41.91616766467066,23.94458083832335,65.86074850299401,21.997490000000003,29.04808326
44,44,No_CDR_price,2,2050,0.16898,0.60834,0,0,0,2.49947,0,0,0,0,0,0,0,0,0,0,0,0.08473,0,0,0,0,0,0,0,0,80.30826997458,22.41985,12.149999999999999,27.70819576,62.27804576,18.03022421458,0.081,0.1429944155,0,0,0.483,LC3-(Coal)Oxy-MEA,cement,2.070393374741201,24.81831378881987,26.888707163561072,12.987245559999998,29.04808326
45,45,No_CDR_price,2,2050,0.14492,0.52169,0,0,0,1.82465,0,0,0,0,0,0,0,0,0,0,0,0.06185,0,0,0,0,0,0,0,0,80.24219322964001,17.87565,9.45,28.89063676,56.21628676,24.02590646964,0.063,0.11084224749999999,0,0,0.414,LC3-(Coal)Oxy-CaL,cement,21.73913043478261,20.834508599033814,42.57363903381642,17.625486559999995,29.04808326
46,46,No_CDR_price,2,2050,0.08265,0.29753,0,0,0,0,0,0,0,0,0,0,1.83858,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,105.89610953333333,26.173309333333336,52.04999999999999,24.6728002,102.89610953333333,3.0,0.347,0.37009449,0,0,0,LC3-(NG),cement,0.0,0.0,0.0,0.0,0.0
47,47,No_CDR_price,2,2050,0.13866,0.49917,0,0,0,0,0,0,0,0,0,0,2.98562,0,0,0,0,0,0,0,0,0,0,0,0.06098,0,93.34302803698444,42.81340844444444,12.3,24.6728002,79.78620864444444,13.55681939254,0.082,0.12003614333333333,0,0,0.329,LC3-(NG)MEA,cement,3.03951367781155,50.57780884836204,53.61732252617359,17.640099111111113,29.04808326
48,48,No_CDR_price,2,2050,0.11606,0.41782,0,0,0,0,0,0,0,0,0,0,1.83858,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,89.81815176199333,28.51200933333333,8.55,29.3031502,66.36515953333334,23.45299222866,0.057,0.08410369000000001,0,0,0.291,LC3-(NG)CaL,cement,41.23711340206186,23.948625429553253,65.18573883161511,18.969049999999996,29.04808326
49,49,No_CDR_price,2,2050,0.18584,0.66903,0,0,0,0,0,0,0,0,0,0,2.53951,0,0,0,0,0,0,0,0,0,0,0,0.05187,0,101.72451616068223,41.16914422222222,12.750000000000002,28.67132056,82.59046478222223,19.13405137846,0.085,0.12550062166666667,0,0,0.521,LC3-(NG)Oxy-MEA,cement,1.9193857965451055,36.45749567924931,38.37688147579442,19.994355248888894,29.04808326
50,50,No_CDR_price,2,2050,0.15722,0.566,0,0,0,0,0,0,0,0,0,0,1.85387,0,0,0,0,0,0,0,0,0,0,0,0.03787,0,95.89574012536444,31.56275844444444,9.9,29.59372888,71.05648732444445,24.83925280092,0.066,0.09815246833333333,0,0,0.442,LC3-(NG)Oxy-CaL,cement,20.361990950226243,23.326646586224225,43.68863753645047,19.310377791111108,29.04808326
51,51,No_CDR_price,2,2050,0.08265,0.29753,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,95.6150722,6.2922720000000005,61.65,24.6728002,92.6150722,3.0,0.411,0.421376508,0,0,0,LC3-(Afm),cement,0.0,0.0,0.0,0.0,0.0
52,52,No_CDR_price,2,2050,0.1492,0.53711,3.12214,0,0,0,0,0,0,0,0,0,0,0,0.08842,0,0,0,0,0,0,0,0,0,0,0,65.91732875466,11.186728,14.7,24.6728002,50.5595282,15.35780055466,0.098,0.116575992,0,0,0.391,LC3-(Afm)MEA,cement,2.557544757033248,12.517790281329917,15.075335038363166,5.894455999999998,29.04808326
53,53,No_CDR_price,2,2050,0.12222,0.43999,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,76.25210284144,9.062172,10.05,30.1473902,49.259562200000005,26.992540641439998,0.067,0.082124908,0,0,0.344,LC3-(Afm)CaL,cement,40.697674418604656,23.966540697674418,64.66421511627908,22.244490000000003,29.04808326
54,54,No_CDR_price,2,2050,0.14311,0.51521,2.46413,0,0,0,0,0,0,0,0,0,0,0,0.06978,0,0,0,0,0,0,0,0,0,0,0,61.694804076420006,10.603852000000002,10.200000000000001,26.23030552,47.03415752000001,14.66064655642,0.068,0.085703528,0,0,0.367,LC3-(Afm)Oxy-MEA,cement,2.7247956403269757,15.992058092643061,18.716853732970037,6.8690853200000035,29.04808326
55,55,No_CDR_price,2,2050,0.1297,0.46692,2.13048,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,68.23206762752,9.585772000000002,8.4,28.02137032,46.00714232,22.22492530752,0.056,0.072022508,0,0,0.352,LC3-(Afm)Oxy-CaL,cement,25.56818181818182,18.869517386363636,44.43769920454545,15.642070119999998,29.04808326
56,56,No_CDR_price,2,2050,0.08265,0.29753,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,88.6343002,24.3615,36.6,24.6728002,85.6343002,3.0,0.244,0.253918,0,0,0,LC3-(BMW),cement,0.0,0.0,0.0,0.0,0.0
57,57,No_CDR_price,2,2050,0.16766,0.60359,0,0,3.61637,0,0,0,0,0,0,0,0,0,0,0,0.28034,0,0,0,0,0,0,0,0,0,83.96704183,39.7702,0.0,24.6728002,64.4430002,19.52404163,-0.256,-0.2358808,0,0,0.5,LC3-(BMW)MEA,cement,4.0,30.817400000000006,34.817400000000006,17.408700000000003,29.04808326
58,58,No_CDR_price,2,2050,0.13041,0.46947,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,92.07964475290001,27.704700000000003,0.0,31.3199902,59.0246902,33.0549545529,-0.171,-0.1553508,0,0,0.415,LC3-(BMW)CaL,cement,43.373493975903614,24.073228915662646,67.44672289156625,27.990389999999994,29.04808326
59,59,No_CDR_price,2,2050,0.15891,0.57209,0,0,2.55742,0,0,0,0,0,0,0,0,0,0,0,0.19825,0,0,0,0,0,0,0,0,0,79.4128354167,30.9487,1.5,27.13293004,59.58163004000001,19.831205376699998,0.01,0.029069199999999996,0,0,0.545,LC3-(BMW)Oxy-MEA,cement,1.8348623853211008,16.600605211009167,18.43546759633027,10.047329839999998,29.04808326
60,60,No_CDR_price,2,2050,0.14648,0.52732,0,0,2.39627,0,0,0,0,0,0,0,0,0,0,0,0.18576,0,0,0,0,0,0,0,0,0,85.86305481432001,28.829600000000003,0.6,28.97987452,58.40947452,27.45358029432,0.004,0.0215776,0,0,0.532,LC3-(BMW)Oxy-CaL,cement,16.917293233082706,16.494688571428565,33.41198180451127,17.775174319999998,29.04808326
61,64,No_CDR_price,6,2050,0.13675,0.4923,0,0,0,0,0,0,0.00597,0,0,0,0.29048,0,0,0,0,0,0,0,5.0e-5,0,0,0,0.00593,0,1002.5897806012747,13.191780601274683,2.4,949.998,965.5897806012747,37.0,0.016,0.034491773333333337,0,0,0,(NG)PE,chemical-PE,0.0,0.0,0.0,0.0,0.0
62,65,No_CDR_price,6,2050,0.13937,0.50172,0,0,0,0,0,0,0.00597,0,0,0,0.30438,0,0,0,0,0,0,0,5.0e-5,0,0,0,0.00622,0,1000.8611762019754,13.529316156830236,0.3,949.998,963.8273161568303,37.033860045145,0.002,0.02090579,0,0,0.015,(NG)PE-MEA,chemical-PE,0.0,22.502370370367213,22.502370370367213,0.3375355555555082,2.257336343
63,66,No_CDR_price,6,2050,0.13675,0.4923,0,0,0,0,0,0,0.31332,0,0,0,0,0,0,0,0,0,0,0,0.00261,0,0,0,0,0,1017.3555041865384,30.35750418653835,0.0,949.998,980.3555041865384,37.0,0,0.01641,0,0,0,(H2)PE,chemical-PE,0.0,0.0,0.0,0.0,0.0
64,67,No_CDR_price,6,2050,0.26743,0.96275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.7181,18.720100000000002,0.0,949.998,968.7181,38.0,0,0.0320916,0,0,0,(H2)PE-AEL,chemical-PE,0.0,0.0,0.0,0.0,0.0
65,68,No_CDR_price,6,2050,0.20795,0.74863,0,0,0,0,0,0,0.00597,0,0,0,0,0,0,0,0,0,0,0,5.0e-5,0,0,0,0,0,1001.9526801568303,14.954680156830237,0.0,949.998,964.9526801568303,37.0,0,0.024953999999999997,0,0,0,(EL)PE,chemical-PE,0.0,0.0,0.0,0.0,0.0
66,73,No_CDR_price,6,2050,0.36,1.296,0,0,0,0,0,0,0,0,0,0,8.16321,0,0,0,0,0,0,0,0,0,0,0,0.16673,0,1292.1100786666666,115.72092866666667,68.85,995.53915,1180.1100786666666,112.0,0.459,0.560703005,0,0,0,(NG)PEA,chemical-PEA,0.0,0.0,0.0,0.0,0.0
67,74,No_CDR_price,6,2050,0.43528,1.56701,0,0,0,0,0,0,0,0,0,0,8.75984,0,0,0,0,0,0,0,0,0,0,0,0.17892,0,1250.9949502544825,127.60649244444446,7.35,995.53915,1130.4956424444445,120.499307810038,0.049,0.16401245333333336,0,0,0.443,(NG)PEA-MEA,chemical-PEA,18.058690744920995,26.829715073990304,44.888405818911295,19.885563777777705,1.127105666
68,75,No_CDR_price,6,2050,0.36,1.296,0,0,0,0,0,0,8.63968,0,0,0,0,0,0,0,0,0,0,0,0.07207,0,0,0,0,0,1709.676028055103,599.1368780551029,0.0,995.53915,1594.676028055103,115.0,0,0.043199999999999995,0,0,0,(H2)PEA,chemical-PEA,0.0,0.0,0.0,0.0,0.0
