Emitter_id,Node_id,AidRES_site_id,NUTS0,NUTS3,Lat,Lon,Sector_id,Sector_name,Product_route_id,Product_route_name,Product_cap_ktpa,Config_id_1,Config_id_2,Config_id_noCC,Route_name_1,Route_name_2,Route_name_noCC,Base_emissions_tot_tCO2ptpa,Base_emissions_direct_tCO2ptpa,Captured_CO2_1_tCO2ptpa,Captured_CO2_2_tCO2ptpa,Capture_ofwhich_bio_1_tCO2ptpa,Capture_ofwhich_bio_2_tCO2ptpa,Totex_1_EURptpa,Totex_2_EURptpa,Totex_noCC_EURptpa,Capex_1_EURptpa,Capex_2_EURptpa,Capex_noCC_EURptpa,Opex_noTandS_1_EURptpa,Opex_noTandS_2_EURptpa,Opex_noTandS_noCC_EURptpa,CO2_allowance_cost_1_EURpt,direct_emission_1_tco2_t,direct_emission_2_tco2_t,direct_emission_noCC_tco2_t,total_emission_1_tco2_t,total_emission_2_tco2_t,total_emission_noCC_tco2_t,Cluster_julia
E2119,C1217,1217,LT,LT025,55.7511702999999,24.3112184999999,3,Glass,11,glass-container,58.93660634,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C418
E124,C1218,1218,LT,LT028,56.3814107,22.1762653999999,4,Refineries,15,refineries-light-liquid-fuel,2777.7999999999997,178,177,175,REF-SMR-MEA,REF(H2)-MEA,REF-SMR,0.622573543,0.231,0.208,0.17,0.0,0.0,678.4894344371378,682.5657872661224,704.4289424577778,47.98003797936,46.4356079639,44.0,630.5093964577778,636.1301793022224,660.4289424577778,3.4499999999999997,0.023,0.019,0.231,0.4144009225333334,0.4040080408666667,0.6181601225333334,C419
E2224,C1219,1219,LT,LT022,55.0744359999999,24.3132324,5,Fertilisers,18,fertiliser-ammonia,770.7299999999999,105,107,107,(NG)NH3-MVR-DEA,(BM)NH3,(BM)NH3,2.07811468,1.742,1.42,0.0,0.0,0.0,482.6432713651555,490.9891,490.9891,120.3508298096,170.0,170.0,362.2924415555555,320.9891,320.9891,30.3,0.202,0.0,0.0,0.46096393166666666,0.1487316,0.1487316,C420
E2225,C1219,1219,LT,LT022,55.0744359999999,24.3132324,5,Fertilisers,18,fertiliser-nitric-acid,1138.5,117,118,117,(BM)HNO3,(BM)HNO3-DEA,(BM)HNO3,0.455609314,0.409,0.0,0.736,0.0,0.736,97.43214512,105.90694141568,97.43214512,30.0,38.47479629568,30.0,67.43214512,67.43214512,67.43214512,0.0,0.0,-0.736,0.0,0.0,-0.736,0.0,C420
E4043,C1219,1219,LT,LT022,55.0744359999999,24.3132324,5,Fertilisers,18,fertiliser-urea,541.65,130,131,130,(BM)Urea,(BM)Urea-DEA,(BM)Urea,0.345423371,0.186,0.0,1.451,0.0,1.451,195.9229408,212.63072534488,195.9229408,11.0,27.707784544880003,11.0,184.9229408,184.9229408,184.9229408,0.0,0.0,-1.451,0.0,0.0578748,-1.3931252,0.0578748,C420
E897,C1222,1222,LU,LU000,49.5228824,5.8948184,1,Steel,2,steel-secondary,1336.8,214,218,214,Scraps EAF,EU-mix-2050,Scraps EAF,0.143477203,0.04,0.0,0.0,0.0,0.0,531.9477585,531.9477585,531.9477585,18.0,18.0,18.0,513.9477585,513.9477585,513.9477585,6.0,0.04,0.04,0.04,0.0973878205,0.0973878205,0.0973878205,C421
E898,C1223,1223,LU,LU000,49.4940264999999,5.9667292,1,Steel,2,steel-secondary,990.2222222,214,218,214,Scraps EAF,EU-mix-2050,Scraps EAF,0.143477203,0.04,0.0,0.0,0.0,0.0,531.9477585,531.9477585,531.9477585,18.0,18.0,18.0,513.9477585,513.9477585,513.9477585,6.0,0.04,0.04,0.04,0.0973878205,0.0973878205,0.0973878205,C421
E2158,C1226,1226,LU,LU000,49.5656855,5.9318927,3,Glass,12,glass-float,212.9646365,164,170,169,(NG)-CC,(EL)-CC,(EL),0.580169919,0.487,0.14,0.052,0.0,0.0,250.42840994222226,260.07431572,277.62331572,83.46000000000001,66.228,58.0,166.96840994222225,193.84631572000004,219.62331572,2.4,0.016,0.006,0.182,0.08442004666666666,0.1873836,0.36231559999999996,C421
E2159,C1227,1227,LU,LU000,49.5046110999999,6.0844063,3,Glass,12,glass-float,226.0785855,164,170,169,(NG)-CC,(EL)-CC,(EL),0.580169919,0.487,0.14,0.052,0.0,0.0,250.42840994222226,260.07431572,277.62331572,83.46000000000001,66.228,58.0,166.96840994222225,193.84631572000004,219.62331572,2.4,0.016,0.006,0.182,0.08442004666666666,0.1873836,0.36231559999999996,C421
E1751,C1228,1228,LU,LU000,49.5151414999999,5.9982839,2,Cement,8,cement,951.977356,34,63,36,CEM2-(Afm)Oxy-MEA,EU-mix-2050,CEM2-(BMW),0.536074117,0.49818,0.485,0.501418443,0.0,0.0,69.07946884110001,69.18344591111111,104.71368770000001,18.088320381099997,12.345486,3.0,50.991148460000005,56.83795991111111,101.71368770000001,13.799999999999999,0.092,0.033971836,0.342,0.11191325199999999,0.05687816046263333,0.3516348,C421
