Emitter_id,Node_id,AidRES_site_id,NUTS0,NUTS3,Lat,Lon,Sector_id,Sector_name,Product_route_id,Product_route_name,Product_cap_ktpa,Config_id_1,Config_id_2,Config_id_noCC,Route_name_1,Route_name_2,Route_name_noCC,Base_emissions_tot_tCO2ptpa,Base_emissions_direct_tCO2ptpa,Captured_CO2_1_tCO2ptpa,Captured_CO2_2_tCO2ptpa,Capture_ofwhich_bio_1_tCO2ptpa,Capture_ofwhich_bio_2_tCO2ptpa,Totex_1_EURptpa,Totex_2_EURptpa,Totex_noCC_EURptpa,Capex_1_EURptpa,Capex_2_EURptpa,Capex_noCC_EURptpa,Opex_noTandS_1_EURptpa,Opex_noTandS_2_EURptpa,Opex_noTandS_noCC_EURptpa,CO2_allowance_cost_1_EURpt,direct_emission_1_tco2_t,direct_emission_2_tco2_t,direct_emission_noCC_tco2_t,total_emission_1_tco2_t,total_emission_2_tco2_t,total_emission_noCC_tco2_t,Cluster_julia
E2087,C1103,1103,IT,ITH37,45.0594049999999,11.2509841,3,Glass,11,glass-container,174.256741,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C346
E877,C1104,1104,IT,ITH42,46.2267294999999,13.073289,1,Steel,2,steel-secondary,1954.991119,214,218,214,Scraps EAF,EU-mix-2050,Scraps EAF,0.143477203,0.04,0.0,0.0,0.0,0.0,531.9477585,531.9477585,531.9477585,18.0,18.0,18.0,513.9477585,513.9477585,513.9477585,6.0,0.04,0.04,0.04,0.0973878205,0.0973878205,0.0973878205,C365
E878,C1105,1105,IT,ITH42,46.0090074,13.2547155,1,Steel,2,steel-secondary,444.3161634,214,218,214,Scraps EAF,EU-mix-2050,Scraps EAF,0.143477203,0.04,0.0,0.0,0.0,0.0,531.9477585,531.9477585,531.9477585,18.0,18.0,18.0,513.9477585,513.9477585,513.9477585,6.0,0.04,0.04,0.04,0.0973878205,0.0973878205,0.0973878205,C366
E1704,C1107,1107,IT,ITH51,45.0473955,9.7192262,2,Cement,8,cement,534.6565946,34,63,36,CEM2-(Afm)Oxy-MEA,EU-mix-2050,CEM2-(BMW),0.536074117,0.49818,0.485,0.501418443,0.0,0.0,69.07946884110001,69.18344591111111,104.71368770000001,18.088320381099997,12.345486,3.0,50.991148460000005,56.83795991111111,101.71368770000001,13.799999999999999,0.092,0.033971836,0.342,0.11191325199999999,0.05687816046263333,0.3516348,C367
E1705,C1108,1108,IT,ITH51,44.7966205,9.8266585,2,Cement,8,cement,698.0758159,34,63,36,CEM2-(Afm)Oxy-MEA,EU-mix-2050,CEM2-(BMW),0.536074117,0.49818,0.485,0.501418443,0.0,0.0,69.07946884110001,69.18344591111111,104.71368770000001,18.088320381099997,12.345486,3.0,50.991148460000005,56.83795991111111,101.71368770000001,13.799999999999999,0.092,0.033971836,0.342,0.11191325199999999,0.05687816046263333,0.3516348,C368
E2047,C1109,1109,IT,ITH52,44.8635342999999,10.0717228,3,Glass,11,glass-container,180.9285738,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C369
E1870,C1112,1112,IT,ITH57,44.442011,12.2383713,6,Chemical,21,chemical-PE,140.0,65,68,68,(NG)PE-MEA,(EL)PE,(EL)PE,0.050040025,0.016,0.015,0.0,0.0,0.0,1000.7329960451451,1001.8245000000001,1001.8245000000001,37.033860045145,37.0,37.0,963.6991360000001,964.8245000000001,964.8245000000001,0.3,0.002,0.0,0.0,0.02090579,0.024953999999999997,0.024953999999999997,C351
E113,C1113,1113,IT,ITI32,43.6385223999999,13.3803903,4,Refineries,15,refineries-light-liquid-fuel,1228.08,178,177,175,REF-SMR-MEA,REF(H2)-MEA,REF-SMR,0.622573543,0.231,0.208,0.17,0.0,0.0,678.4894344371378,682.5657872661224,704.4289424577778,47.98003797936,46.4356079639,44.0,630.5093964577778,636.1301793022224,660.4289424577778,3.4499999999999997,0.023,0.019,0.231,0.4144009225333334,0.4040080408666667,0.6181601225333334,C370
E114,C1114,1114,IT,ITG19,37.2175216999999,15.1687844999999,4,Refineries,15,refineries-light-liquid-fuel,2894.7599999999998,178,177,175,REF-SMR-MEA,REF(H2)-MEA,REF-SMR,0.622573543,0.231,0.208,0.17,0.0,0.0,678.4894344371378,682.5657872661224,704.4289424577778,47.98003797936,46.4356079639,44.0,630.5093964577778,636.1301793022224,660.4289424577778,3.4499999999999997,0.023,0.019,0.231,0.4144009225333334,0.4040080408666667,0.6181601225333334,C341
E1978,C1115,1115,IT,ITI13,43.8685126,10.6841112,3,Glass,11,glass-container,215.6184382,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C371
E2013,C1116,1116,IT,ITI14,42.8286008999999,13.2090048,3,Glass,11,glass-container,280.8635803,140,146,145,(NG)-CC,(EL)-CC,(EL),0.44358809,0.338,0.097,0.021,0.0,0.0,251.80920304444447,260.61025659999996,267.09275660000003,68.483,53.919,50.0,183.32620304444447,206.6912566,217.09275660000003,1.6499999999999997,0.011,0.002,0.073,0.08259808833333333,0.1719824,0.2425564,C372
E1707,C1117,1117,IT,ITI14,43.6159036,11.2846891,2,Cement,8,cement,310.730988,34,63,36,CEM2-(Afm)Oxy-MEA,EU-mix-2050,CEM2-(BMW),0.536074117,0.49818,0.485,0.501418443,0.0,0.0,69.07946884110001,69.18344591111111,104.71368770000001,18.088320381099997,12.345486,3.0,50.991148460000005,56.83795991111111,101.71368770000001,13.799999999999999,0.092,0.033971836,0.342,0.11191325199999999,0.05687816046263333,0.3516348,C373
