Pipeline_lon1,Pipeline_lat1,Pipeline_lon2,Pipeline_lat2,Pipe_capacity
4.232510208571428,51.90253498571426,4.3028847033333335,51.299193959999975,74.37162120650999
1.38,46.463,1.992231,47.248274,0.0021224596041289345
4.27192,56.34414299999999,1.8999999999999995,58.35000280999999,70.0
3.7263890000000006,60.64555599999999,3.689817,60.433772,5.0
6.933,51.076,6.311106,50.835876,30.552931669262804
-0.220066,43.780448,-0.261723,44.291534,0.0021224596041289345
3.2079246,50.1147956,3.5249099,50.36293974999995,0.0021224596041289345
1.7545689,49.784636524999954,1.873865,48.844032,0.0021224596041289345
6.1561641,50.8304695499999,6.177002,50.786035,0.051937662083503255
6.936789494117647,50.966893499999976,6.933,51.076,9.9336992004807
5.589,53.056,5.429,52.95,0.0014149730699999999
2.7772128666666664,50.48029846666657,3.2079246,50.1147956,0.0021224596041289345
3.46,51.192,3.97037,50.44787,3.8877383542729858
4.232510208571428,51.90253498571426,4.064029,51.973837,106.6
7.5134593,51.6251146999999,8.0299739,51.4228401,0.0007074865349999999
1.43429425,50.06475254999995,2.194792,51.033134,0.0021224596041289345
2.371,48.852,1.873865,48.844032,0.0021224596041289345
3.9148496500000007,50.47636969999994,3.97037,50.44787,3.8877383542729858
-0.261723,44.291534,-0.146575,44.495849,0.0021224596041289345
2.371,48.852,2.6357442,48.6539418,0.0021224596041289345
4.077814,51.965418,4.064029,51.973837,106.6
0.367019,45.64714,1.38,46.463,0.0021224596041289345
-0.220066,43.780448,-0.614,43.421,0.0021224596041289345
6.31028,53.278554,6.07,53.19,0.0014149730699999999
3.7728211071428572,51.31059309999994,3.827686,51.191166,3.8877383542729866
2.7772128666666664,50.48029846666657,2.301345,50.7305441,0.0021224596041289345
6.24564695,51.83264669999989,6.144031,51.897037,0.0014149730699999999
3.7263890000000006,60.64555599999999,1.8999999999999995,58.35000280999999,15.0
6.311106,50.835876,6.09,50.7,30.554346642332803
4.822,52.86,4.700005,52.487665,0.0007074865349999999
6.311106,50.835876,6.457,51.384,0.0014149730699999999
6.95846865,53.31357319999995,6.9723944,53.1763506,0.0014149730699999999
3.896137981999999,52.14647011999998,4.0040007,53.53716658999998,105.0
2.704426,48.150232,2.6357442,48.6539418,0.0021224596041289345
6.983728734210527,51.55545094210524,6.933,51.076,20.619232468782105
4.3028847033333335,51.299193959999975,3.7728211071428572,51.31059309999994,17.145991841050986
3.7263890000000006,60.64555599999999,3.689817,60.433772,5.0
-0.146575,44.495849,0.367019,45.64714,0.0021224596041289345
5.0718321625,51.107965949999965,5.491873699999999,50.93598109999995,31.6716763070307
1.43429425,50.06475254999995,1.7545689,49.784636524999954,0.0021224596041289345
6.4979,53.28,6.31028,53.278554,0.0014149730699999999
1.7823917,50.8128814,2.194792,51.033134,0.0021224596041289345
1.992231,47.248274,2.704426,48.150232,0.0021224596041289345
3.9555781849999994,52.13518771,3.896137981999999,52.14647011999998,1.6
2.301345,50.7305441,1.7823917,50.8128814,0.0021224596041289345
4.3028847033333335,51.299193959999975,5.0718321625,51.107965949999965,32.3935977722577
-0.955718,43.018757,-0.614,43.421,0.0021224596041289345
8.397537683333328,51.60553248333326,8.052379966666665,51.79362816666664,2.8282328933300014
6.9723944,53.1763506,6.4979,53.28,0.0014149730699999999
5.491873699999999,50.93598109999995,5.7249609333333344,50.75836836666667,31.652447370176702
5.7249609333333344,50.75836836666667,5.739351,50.753777,30.606284304417045
3.9148496500000007,50.47636969999994,3.5249099,50.36293974999995,0.0021224596041289345
5.8924892,53.0481093,5.589,53.056,0.0014149730699999999
6.07,53.19,5.8924892,53.0481093,0.0014149730699999999
8.052379966666665,51.79362816666664,7.5784,51.683185,5.205047041285002
3.896137981999999,52.14647011999998,3.520992013,52.03519497,106.6
3.46826845,50.58618674999995,3.9148496500000007,50.47636969999994,1.7005114966450001
7.5134593,51.6251146999999,7.5784,51.683185,5.205047041285002
6.983728734210527,51.55545094210524,7.5134593,51.6251146999999,5.223011527122102
4.8254518,52.3939027999999,4.700005,52.487665,0.0007074865349999999
7.937344400000001,52.186523466666635,8.052379966666665,51.79362816666664,1.052565948135
6.457,51.384,6.144031,51.897037,0.0014149730699999999
5.429,52.95,5.050348,52.756746,0.0014149730699999999
5.050348,52.756746,4.822,52.86,0.0014149730699999999
1.466,52.8506,4.822,52.86,0.002122459605
3.46,51.192,3.827686,51.191166,3.8877383542729858
5.739351,50.753777,6.09,50.7,30.60628430441762
6.09,50.7,6.177002,50.786035,0.05193766208412856
4.27192,56.34414299999999,4.0040007,53.53716658999998,85.0
4.077814,51.965418,3.520992013,52.03519497,106.6
4.620476,52.4739099999999,4.232510208571428,51.90253498571426,3.992418
